"X","Date","Team","Team.Location","Team.Score","Opponent","Opponent.Score","Team.Result"
1,"11/13/15","Old Dominion","Neutral",67,"Niagara",50,"Win"
2,"11/13/15","Niagara","Neutral",50,"Old Dominion",67,"Loss"
3,"11/13/15","Sacred Heart","Neutral",76,"Quinnipiac",64,"Win"
4,"11/13/15","Quinnipiac","Neutral",64,"Sacred Heart",76,"Loss"
5,"11/13/15","Texas","Neutral",71,"Washington",77,"Loss"
6,"11/13/15","Wright State","Neutral",77,"South Dakota",69,"Win"
7,"11/13/15","South Dakota","Neutral",69,"Wright State",77,"Loss"
8,"11/13/15","Fairfield","Neutral",57,"Yale",70,"Loss"
9,"11/13/15","Yale","Neutral",70,"Fairfield",57,"Win"
10,"11/13/15","Washington","Neutral",77,"Texas",71,"Win"
11,"11/13/15","Temple","Neutral",67,"North Carolina",91,"Loss"
12,"11/13/15","North Carolina","Neutral",91,"Temple",67,"Win"
13,"11/13/15","Nevada","Neutral",73,"Coastal Carolina",56,"Win"
14,"11/13/15","Coastal Carolina","Neutral",56,"Nevada",73,"Loss"
15,"11/13/15","Denver","Neutral",58,"Milwaukee",71,"Loss"
16,"11/13/15","Milwaukee","Neutral",71,"Denver",58,"Win"
17,"11/13/15","Iowa State","Neutral",68,"Colorado",62,"Win"
18,"11/13/15","Colorado","Neutral",62,"Iowa State",68,"Loss"
19,"11/14/15","Cal State Northridge","Neutral",72,"Wright State",67,"Win"
20,"11/14/15","Wright State","Neutral",67,"Cal State Northridge",72,"Loss"
21,"11/14/15","Akron","Neutral",65,"Cleveland State",53,"Win"
22,"11/14/15","Cleveland State","Neutral",53,"Akron",65,"Loss"
23,"11/14/15","Lipscomb","Neutral",65,"Milwaukee",71,"Loss"
24,"11/14/15","Milwaukee","Neutral",71,"Lipscomb",65,"Win"
25,"11/15/15","Cal State Northridge","Neutral",72,"South Dakota",76,"Loss"
26,"11/15/15","South Dakota","Neutral",76,"Cal State Northridge",72,"Win"
27,"11/15/15","Hawaii","Neutral",74,"Coastal Carolina",63,"Win"
28,"11/15/15","Coastal Carolina","Neutral",63,"Hawaii",74,"Loss"
29,"11/15/15","Nevada","Neutral",83,"Montana State",62,"Win"
30,"11/15/15","Montana State","Neutral",62,"Nevada",83,"Loss"
31,"11/15/15","Lipscomb","Neutral",69,"Denver",82,"Loss"
32,"11/15/15","Denver","Neutral",82,"Lipscomb",69,"Win"
33,"11/16/15","James Madison","Neutral",73,"West Virginia",86,"Loss"
34,"11/16/15","West Virginia","Neutral",86,"James Madison",73,"Win"
35,"11/17/15","Kansas","Neutral",73,"Michigan State",79,"Loss"
36,"11/17/15","Michigan State","Neutral",79,"Kansas",73,"Win"
37,"11/17/15","Duke","Neutral",63,"Kentucky",74,"Loss"
38,"11/17/15","Kentucky","Neutral",74,"Duke",63,"Win"
39,"11/19/15","Long Beach State","Neutral",80,"Seton Hall",77,"Win"
40,"11/19/15","Seton Hall","Neutral",77,"Long Beach State",80,"Loss"
41,"11/19/15","Missouri State","Neutral",59,"Butler",93,"Loss"
42,"11/19/15","Miami (FL)","Neutral",105,"Mississippi State",79,"Win"
43,"11/19/15","Mississippi State","Neutral",79,"Miami (FL)",105,"Loss"
44,"11/19/15","Butler","Neutral",93,"Missouri State",59,"Win"
45,"11/19/15","Towson","Neutral",52,"Oklahoma State",69,"Loss"
46,"11/19/15","Oklahoma State","Neutral",69,"Towson",52,"Win"
47,"11/19/15","Texas Tech","Neutral",63,"Utah",73,"Loss"
48,"11/19/15","Utah","Neutral",73,"Texas Tech",63,"Win"
49,"11/19/15","George Mason","Neutral",68,"Mississippi",62,"Win"
50,"11/19/15","Mississippi","Neutral",62,"George Mason",68,"Loss"
51,"11/19/15","Virginia","Neutral",82,"Bradley",57,"Win"
52,"11/19/15","Bradley","Neutral",57,"Virginia",82,"Loss"
53,"11/19/15","Minnesota","Neutral",70,"Temple",75,"Loss"
54,"11/19/15","Temple","Neutral",75,"Minnesota",70,"Win"
55,"11/20/15","Oklahoma State","Neutral",68,"George Mason",71,"Loss"
56,"11/20/15","George Mason","Neutral",71,"Oklahoma State",68,"Win"
57,"11/20/15","DePaul","Neutral",61,"South Carolina",76,"Loss"
58,"11/20/15","Siena","Neutral",76,"Radford",62,"Win"
59,"11/20/15","Radford","Neutral",62,"Siena",76,"Loss"
60,"11/20/15","Minnesota","Neutral",74,"Missouri State",69,"Win"
61,"11/20/15","Missouri State","Neutral",69,"Minnesota",74,"Loss"
62,"11/20/15","Indiana State","Neutral",70,"Norfolk State",61,"Win"
63,"11/20/15","Norfolk State","Neutral",61,"Indiana State",70,"Loss"
64,"11/20/15","Long Beach State","Neutral",52,"Virginia",87,"Loss"
65,"11/20/15","Virginia","Neutral",87,"Long Beach State",52,"Win"
66,"11/20/15","Duke","Neutral",79,"Virginia Commonwealth",71,"Win"
67,"11/20/15","Virginia Commonwealth","Neutral",71,"Duke",79,"Loss"
68,"11/20/15","Mississippi State","Neutral",72,"Texas Tech",74,"Loss"
69,"11/20/15","Texas Tech","Neutral",74,"Mississippi State",72,"Win"
70,"11/20/15","South Carolina","Neutral",76,"DePaul",61,"Win"
71,"11/20/15","Oral Roberts","Neutral",70,"Tennessee-Martin",66,"Win"
72,"11/20/15","Tennessee-Martin","Neutral",66,"Oral Roberts",70,"Loss"
73,"11/20/15","Miami (FL)","Neutral",90,"Utah",66,"Win"
74,"11/20/15","Utah","Neutral",66,"Miami (FL)",90,"Loss"
75,"11/20/15","Tulsa","Neutral",90,"Ohio",88,"Win"
76,"11/20/15","Mississippi","Neutral",76,"Towson",60,"Win"
77,"11/20/15","Towson","Neutral",60,"Mississippi",76,"Loss"
78,"11/20/15","Ohio","Neutral",88,"Tulsa",90,"Loss"
79,"11/20/15","Temple","Neutral",69,"Butler",74,"Loss"
80,"11/20/15","Florida Atlantic","Neutral",58,"Northeastern",60,"Loss"
81,"11/20/15","Duquesne","Neutral",78,"Penn State",52,"Win"
82,"11/20/15","Penn State","Neutral",52,"Duquesne",78,"Loss"
83,"11/20/15","Butler","Neutral",74,"Temple",69,"Win"
84,"11/20/15","Bradley","Neutral",59,"Seton Hall",67,"Loss"
85,"11/20/15","Seton Hall","Neutral",67,"Bradley",59,"Win"
86,"11/20/15","Longwood","Neutral",77,"South Carolina State",83,"Loss"
87,"11/20/15","South Carolina State","Neutral",83,"Longwood",77,"Win"
88,"11/20/15","Wisconsin","Neutral",61,"Georgetown",71,"Loss"
89,"11/20/15","Georgetown","Neutral",71,"Wisconsin",61,"Win"
90,"11/20/15","Northeastern","Neutral",60,"Florida Atlantic",58,"Win"
91,"11/20/15","Florida State","Neutral",77,"Hofstra",82,"Loss"
92,"11/20/15","Hofstra","Neutral",82,"Florida State",77,"Win"
93,"11/21/15","Old Dominion","Neutral",39,"Purdue",61,"Loss"
94,"11/21/15","Purdue","Neutral",61,"Old Dominion",39,"Win"
95,"11/21/15","Radford","Neutral",64,"Prairie View",56,"Win"
96,"11/21/15","Prairie View","Neutral",56,"Radford",64,"Loss"
97,"11/21/15","Florida","Neutral",74,"Saint Joseph's",63,"Win"
98,"11/21/15","Saint Joseph's","Neutral",63,"Florida",74,"Loss"
99,"11/21/15","North Carolina A&T","Neutral",68,"Buffalo",86,"Loss"
100,"11/21/15","North Dakota","Neutral",77,"Bowling Green State",59,"Win"
101,"11/21/15","Bowling Green State","Neutral",59,"North Dakota",77,"Loss"
102,"11/21/15","Buffalo","Neutral",86,"North Carolina A&T",68,"Win"
103,"11/21/15","Ohio","Neutral",93,"Norfolk State",71,"Win"
104,"11/21/15","Norfolk State","Neutral",71,"Ohio",93,"Loss"
105,"11/21/15","Niagara","Neutral",67,"Vermont",85,"Loss"
106,"11/21/15","Vermont","Neutral",85,"Niagara",67,"Win"
107,"11/21/15","DePaul","Neutral",67,"Florida State",83,"Loss"
108,"11/21/15","Florida State","Neutral",83,"DePaul",67,"Win"
109,"11/21/15","Austin Peay","Neutral",64,"Cal Poly",73,"Loss"
110,"11/21/15","Cal Poly","Neutral",73,"Austin Peay",64,"Win"
111,"11/21/15","Longwood","Neutral",67,"Ball State",78,"Loss"
112,"11/21/15","Ball State","Neutral",78,"Longwood",67,"Win"
113,"11/21/15","Northeastern","Neutral",79,"Lipscomb",67,"Win"
114,"11/21/15","Lipscomb","Neutral",67,"Northeastern",79,"Loss"
115,"11/21/15","Tennessee-Martin","Neutral",62,"Florida International",69,"Loss"
116,"11/21/15","Florida International","Neutral",69,"Tennessee-Martin",62,"Win"
117,"11/21/15","Illinois","Neutral",77,"Chattanooga",81,"Loss"
118,"11/21/15","Chattanooga","Neutral",81,"Illinois",77,"Win"
119,"11/22/15","Purdue","Neutral",85,"Florida",70,"Win"
120,"11/22/15","Florida","Neutral",70,"Purdue",85,"Loss"
121,"11/22/15","Mississippi","Neutral",63,"Seton Hall",75,"Loss"
122,"11/22/15","Seton Hall","Neutral",75,"Mississippi",63,"Win"
123,"11/22/15","Old Dominion","Neutral",64,"Saint Joseph's",66,"Loss"
124,"11/22/15","Saint Joseph's","Neutral",66,"Old Dominion",64,"Win"
125,"11/22/15","Wyoming","Neutral",82,"Montana State",83,"Loss"
126,"11/22/15","Mississippi State","Neutral",84,"Missouri State",70,"Win"
127,"11/22/15","Missouri State","Neutral",70,"Mississippi State",84,"Loss"
128,"11/22/15","Montana State","Neutral",83,"Wyoming",82,"Win"
129,"11/22/15","Niagara","Neutral",73,"North Carolina A&T",72,"Win"
130,"11/22/15","North Carolina A&T","Neutral",72,"Niagara",73,"Loss"
131,"11/22/15","Buffalo","Neutral",77,"Vermont",71,"Win"
132,"11/22/15","Vermont","Neutral",71,"Buffalo",77,"Loss"
133,"11/22/15","Utah","Neutral",74,"Temple",68,"Win"
134,"11/22/15","Temple","Neutral",68,"Utah",74,"Loss"
135,"11/22/15","Wisconsin","Neutral",74,"Virginia Commonwealth",73,"Win"
136,"11/22/15","Bowling Green State","Neutral",79,"Youngstown State",72,"Win"
137,"11/22/15","Youngstown State","Neutral",72,"Bowling Green State",79,"Loss"
138,"11/22/15","Virginia Commonwealth","Neutral",73,"Wisconsin",74,"Loss"
139,"11/22/15","George Mason","Neutral",66,"Virginia",83,"Loss"
140,"11/22/15","Virginia","Neutral",83,"George Mason",66,"Win"
141,"11/22/15","Hofstra","Neutral",84,"South Carolina",94,"Loss"
142,"11/22/15","South Carolina","Neutral",94,"Hofstra",84,"Win"
143,"11/22/15","Minnesota","Neutral",68,"Texas Tech",81,"Loss"
144,"11/22/15","Texas Tech","Neutral",81,"Minnesota",68,"Win"
145,"11/22/15","Duke","Neutral",86,"Georgetown",84,"Win"
146,"11/22/15","Georgetown","Neutral",84,"Duke",86,"Loss"
147,"11/22/15","Bradley","Neutral",60,"Towson",62,"Loss"
148,"11/22/15","Towson","Neutral",62,"Bradley",60,"Win"
149,"11/22/15","Ball State","Neutral",72,"South Carolina State",60,"Win"
150,"11/22/15","South Carolina State","Neutral",60,"Ball State",72,"Loss"
151,"11/22/15","Oklahoma State","Neutral",82,"Long Beach State",77,"Win"
152,"11/22/15","Florida Atlantic","Neutral",65,"Lipscomb",79,"Loss"
153,"11/22/15","Lipscomb","Neutral",79,"Florida Atlantic",65,"Win"
154,"11/22/15","Long Beach State","Neutral",77,"Oklahoma State",82,"Loss"
155,"11/22/15","Miami (FL)","Neutral",85,"Butler",75,"Win"
156,"11/22/15","Butler","Neutral",75,"Miami (FL)",85,"Loss"
157,"11/22/15","Cal Poly","Neutral",78,"Maryland-Baltimore County",65,"Win"
158,"11/22/15","Maryland-Baltimore County","Neutral",65,"Cal Poly",78,"Loss"
159,"11/22/15","Florida International","Neutral",70,"Oral Roberts",76,"Loss"
160,"11/22/15","Oral Roberts","Neutral",76,"Florida International",70,"Win"
161,"11/22/15","Tulsa","Neutral",67,"Indiana State",59,"Win"
162,"11/22/15","Indiana State","Neutral",59,"Tulsa",67,"Loss"
163,"11/23/15","Pepperdine","Neutral",84,"Duquesne",70,"Win"
164,"11/23/15","Duquesne","Neutral",70,"Pepperdine",84,"Loss"
165,"11/23/15","Creighton","Neutral",85,"Rutgers",75,"Win"
166,"11/23/15","Rutgers","Neutral",75,"Creighton",85,"Loss"
167,"11/23/15","Samford","Neutral",83,"Troy",79,"Win"
168,"11/23/15","Troy","Neutral",79,"Samford",83,"Loss"
169,"11/23/15","Milwaukee","Neutral",63,"Murray State",66,"Loss"
170,"11/23/15","Murray State","Neutral",66,"Milwaukee",63,"Win"
171,"11/23/15","North Carolina","Neutral",80,"Northwestern",69,"Win"
172,"11/23/15","Northwestern","Neutral",69,"North Carolina",80,"Loss"
173,"11/23/15","Drake","Neutral",81,"Western Kentucky",79,"Win"
174,"11/23/15","UCLA","Neutral",77,"Nevada-Las Vegas",75,"Win"
175,"11/23/15","St. John's (NY)","Neutral",55,"Vanderbilt",92,"Loss"
176,"11/23/15","Vanderbilt","Neutral",92,"St. John's (NY)",55,"Win"
177,"11/23/15","Western Kentucky","Neutral",79,"Drake",81,"Loss"
178,"11/23/15","North Dakota","Neutral",69,"Youngstown State",79,"Loss"
179,"11/23/15","Youngstown State","Neutral",79,"North Dakota",69,"Win"
180,"11/23/15","Nevada-Las Vegas","Neutral",75,"UCLA",77,"Loss"
181,"11/23/15","South Carolina","Neutral",83,"Tulsa",75,"Win"
182,"11/23/15","Tulsa","Neutral",75,"South Carolina",83,"Loss"
183,"11/23/15","Belmont","Neutral",98,"South Alabama",85,"Win"
184,"11/23/15","South Alabama","Neutral",85,"Belmont",98,"Loss"
185,"11/23/15","Massachusetts","Neutral",82,"Clemson",65,"Win"
186,"11/23/15","Clemson","Neutral",65,"Massachusetts",82,"Loss"
187,"11/23/15","DePaul","Neutral",82,"Norfolk State",78,"Win"
188,"11/23/15","Norfolk State","Neutral",78,"DePaul",82,"Loss"
189,"11/23/15","Weber State","Neutral",63,"Central Michigan",60,"Win"
190,"11/23/15","Arizona State","Neutral",79,"North Carolina State",76,"Win"
191,"11/23/15","North Carolina State","Neutral",76,"Arizona State",79,"Loss"
192,"11/23/15","Central Arkansas","Neutral",98,"Texas-San Antonio",84,"Win"
193,"11/23/15","Texas-San Antonio","Neutral",84,"Central Arkansas",98,"Loss"
194,"11/23/15","Central Michigan","Neutral",60,"Weber State",63,"Loss"
195,"11/23/15","Kansas State","Neutral",66,"Missouri",42,"Win"
196,"11/23/15","Wake Forest","Neutral",82,"Indiana",78,"Win"
197,"11/23/15","Missouri","Neutral",42,"Kansas State",66,"Loss"
198,"11/23/15","Louisiana State","Neutral",80,"Marquette",81,"Loss"
199,"11/23/15","Marquette","Neutral",81,"Louisiana State",80,"Win"
200,"11/23/15","Indiana","Neutral",78,"Wake Forest",82,"Loss"
201,"11/23/15","Florida State","Neutral",90,"Ohio",81,"Win"
202,"11/23/15","Ohio","Neutral",81,"Florida State",90,"Loss"
203,"11/23/15","Texas Southern","Neutral",81,"Howard",87,"Loss"
204,"11/23/15","Chicago State","Neutral",79,"Illinois",82,"Loss"
205,"11/23/15","Illinois","Neutral",82,"Chicago State",79,"Win"
206,"11/23/15","Hofstra","Neutral",66,"Indiana State",67,"Loss"
207,"11/23/15","Indiana State","Neutral",67,"Hofstra",66,"Win"
208,"11/23/15","Howard","Neutral",87,"Texas Southern",81,"Win"
209,"11/24/15","Texas Christian","Neutral",60,"Rhode Island",66,"Loss"
210,"11/24/15","Rhode Island","Neutral",66,"Texas Christian",60,"Win"
211,"11/24/15","Kansas State","Neutral",70,"North Carolina",80,"Loss"
212,"11/24/15","Louisiana State","Neutral",72,"North Carolina State",83,"Loss"
213,"11/24/15","North Carolina","Neutral",80,"Kansas State",70,"Win"
214,"11/24/15","Pepperdine","Neutral",55,"Murray State",59,"Loss"
215,"11/24/15","Murray State","Neutral",59,"Pepperdine",55,"Win"
216,"11/24/15","Northwestern","Neutral",67,"Missouri",62,"Win"
217,"11/24/15","North Carolina State","Neutral",83,"Louisiana State",72,"Win"
218,"11/24/15","Missouri","Neutral",62,"Northwestern",67,"Loss"
219,"11/24/15","Vanderbilt","Neutral",86,"Wake Forest",64,"Win"
220,"11/24/15","UCLA","Neutral",73,"Kansas",92,"Loss"
221,"11/24/15","Kansas","Neutral",92,"UCLA",73,"Win"
222,"11/24/15","Western Kentucky","Neutral",88,"Central Michigan",60,"Win"
223,"11/24/15","Central Michigan","Neutral",60,"Western Kentucky",88,"Loss"
224,"11/24/15","Wake Forest","Neutral",64,"Vanderbilt",86,"Loss"
225,"11/24/15","Rider","Neutral",52,"Cleveland State",57,"Loss"
226,"11/24/15","Weber State","Neutral",74,"Drake",58,"Win"
227,"11/24/15","Drake","Neutral",58,"Weber State",74,"Loss"
228,"11/24/15","Cleveland State","Neutral",57,"Rider",52,"Win"
229,"11/24/15","Marquette","Neutral",78,"Arizona State",73,"Win"
230,"11/24/15","Arizona State","Neutral",73,"Marquette",78,"Loss"
231,"11/24/15","Illinois State","Neutral",66,"Maryland",77,"Loss"
232,"11/24/15","Maryland","Neutral",77,"Illinois State",66,"Win"
233,"11/24/15","Milwaukee","Neutral",92,"Duquesne",96,"Loss"
234,"11/24/15","Duquesne","Neutral",96,"Milwaukee",92,"Win"
235,"11/24/15","St. John's (NY)","Neutral",73,"Indiana",83,"Loss"
236,"11/24/15","Indiana","Neutral",83,"St. John's (NY)",73,"Win"
237,"11/24/15","Troy","Neutral",63,"Idaho",69,"Loss"
238,"11/24/15","Houston Baptist","Neutral",68,"South Dakota State",92,"Loss"
239,"11/24/15","Idaho","Neutral",69,"Troy",63,"Win"
240,"11/24/15","South Dakota State","Neutral",92,"Houston Baptist",68,"Win"
241,"11/24/15","South Alabama","Neutral",78,"IUPUI",68,"Win"
242,"11/24/15","IUPUI","Neutral",68,"South Alabama",78,"Loss"
243,"11/25/15","Rider","Neutral",67,"Houston Baptist",56,"Win"
244,"11/25/15","Houston Baptist","Neutral",56,"Rider",67,"Loss"
245,"11/25/15","Rhode Island","Neutral",63,"Maryland",86,"Loss"
246,"11/25/15","Maryland","Neutral",86,"Rhode Island",63,"Win"
247,"11/25/15","Toledo","Neutral",89,"San Jose State",74,"Win"
248,"11/25/15","San Jose State","Neutral",74,"Toledo",89,"Loss"
249,"11/25/15","Rutgers","Neutral",58,"Clemson",76,"Loss"
250,"11/25/15","Clemson","Neutral",76,"Rutgers",58,"Win"
251,"11/25/15","Drake","Neutral",69,"Pepperdine",53,"Win"
252,"11/25/15","Pepperdine","Neutral",53,"Drake",69,"Loss"
253,"11/25/15","Washington","Neutral",64,"Gonzaga",80,"Loss"
254,"11/25/15","Duquesne","Neutral",81,"Western Kentucky",73,"Win"
255,"11/25/15","Gonzaga","Neutral",80,"Washington",64,"Win"
256,"11/25/15","Western Kentucky","Neutral",73,"Duquesne",81,"Loss"
257,"11/25/15","Texas","Neutral",73,"Texas A&M",84,"Loss"
258,"11/25/15","Texas A&M","Neutral",84,"Texas",73,"Win"
259,"11/25/15","South Dakota State","Neutral",77,"Cleveland State",66,"Win"
260,"11/25/15","Cleveland State","Neutral",66,"South Dakota State",77,"Loss"
261,"11/25/15","Syracuse","Neutral",83,"Charlotte",70,"Win"
262,"11/25/15","Charlotte","Neutral",70,"Syracuse",83,"Loss"
263,"11/25/15","Wake Forest","Neutral",80,"UCLA",77,"Win"
264,"11/25/15","UCLA","Neutral",77,"Wake Forest",80,"Loss"
265,"11/25/15","Texas Southern","Neutral",91,"Texas-San Antonio",80,"Win"
266,"11/25/15","Illinois State","Neutral",60,"Texas Christian",71,"Loss"
267,"11/25/15","Texas-San Antonio","Neutral",80,"Texas Southern",91,"Loss"
268,"11/25/15","Texas Christian","Neutral",71,"Illinois State",60,"Win"
269,"11/25/15","Central Michigan","Neutral",78,"Milwaukee",84,"Loss"
270,"11/25/15","Massachusetts","Neutral",76,"Creighton",97,"Loss"
271,"11/25/15","Creighton","Neutral",97,"Massachusetts",76,"Win"
272,"11/25/15","Milwaukee","Neutral",84,"Central Michigan",78,"Win"
273,"11/25/15","Central Arkansas","Neutral",54,"Howard",73,"Loss"
274,"11/25/15","Michigan","Neutral",60,"Connecticut",74,"Loss"
275,"11/25/15","Connecticut","Neutral",74,"Michigan",60,"Win"
276,"11/25/15","Weber State","Neutral",75,"Murray State",59,"Win"
277,"11/25/15","Murray State","Neutral",59,"Weber State",75,"Loss"
278,"11/25/15","Vanderbilt","Neutral",63,"Kansas",70,"Loss"
279,"11/25/15","Kansas","Neutral",70,"Vanderbilt",63,"Win"
280,"11/25/15","Nevada-Las Vegas","Neutral",72,"Indiana",69,"Win"
281,"11/25/15","Idaho","Neutral",58,"Samford",75,"Loss"
282,"11/25/15","Howard","Neutral",73,"Central Arkansas",54,"Win"
283,"11/25/15","Indiana","Neutral",69,"Nevada-Las Vegas",72,"Loss"
284,"11/25/15","Samford","Neutral",75,"Idaho",58,"Win"
285,"11/25/15","San Diego","Neutral",57,"Loyola (IL)",67,"Loss"
286,"11/25/15","Loyola (IL)","Neutral",67,"San Diego",57,"Win"
287,"11/26/15","San Diego State","Neutral",72,"University of California",58,"Win"
288,"11/26/15","University of California","Neutral",58,"San Diego State",72,"Loss"
289,"11/26/15","Providence","Neutral",74,"Evansville",64,"Win"
290,"11/26/15","Stephen F. Austin","Neutral",79,"Western Michigan",71,"Win"
291,"11/26/15","Wichita State","Neutral",69,"Southern California",72,"Loss"
292,"11/26/15","Southern California","Neutral",72,"Wichita State",69,"Win"
293,"11/26/15","Michigan State","Neutral",99,"Boston College",68,"Win"
294,"11/26/15","Boston College","Neutral",68,"Michigan State",99,"Loss"
295,"11/26/15","Michigan","Neutral",102,"Charlotte",47,"Win"
296,"11/26/15","Evansville","Neutral",64,"Providence",74,"Loss"
297,"11/26/15","Notre Dame","Neutral",68,"Monmouth",70,"Loss"
298,"11/26/15","Monmouth","Neutral",70,"Notre Dame",68,"Win"
299,"11/26/15","Western Michigan","Neutral",71,"Stephen F. Austin",79,"Loss"
300,"11/26/15","Richmond","Neutral",59,"West Virginia",67,"Loss"
301,"11/26/15","Villanova","Neutral",59,"Stanford",45,"Win"
302,"11/26/15","Stanford","Neutral",45,"Villanova",59,"Loss"
303,"11/26/15","Xavier","Neutral",64,"Alabama",45,"Win"
304,"11/26/15","Alabama","Neutral",45,"Xavier",64,"Loss"
305,"11/26/15","West Virginia","Neutral",67,"Richmond",59,"Win"
306,"11/26/15","Connecticut","Neutral",76,"Syracuse",79,"Loss"
307,"11/26/15","Stetson","Neutral",83,"Bethune-Cookman",70,"Win"
308,"11/26/15","Bethune-Cookman","Neutral",70,"Stetson",83,"Loss"
309,"11/26/15","Washington","Neutral",70,"Texas",82,"Loss"
310,"11/26/15","Texas","Neutral",82,"Washington",70,"Win"
311,"11/26/15","Syracuse","Neutral",79,"Connecticut",76,"Win"
312,"11/26/15","Drexel","Neutral",66,"North Carolina-Asheville",85,"Loss"
313,"11/26/15","Iowa","Neutral",77,"Dayton",82,"Loss"
314,"11/26/15","Dayton","Neutral",82,"Iowa",77,"Win"
315,"11/26/15","East Carolina","Neutral",46,"Arkansas-Little Rock",54,"Loss"
316,"11/26/15","Arkansas-Little Rock","Neutral",54,"East Carolina",46,"Win"
317,"11/26/15","North Carolina-Asheville","Neutral",85,"Drexel",66,"Win"
318,"11/26/15","Arizona","Neutral",75,"Santa Clara",73,"Win"
319,"11/26/15","UC-Irvine","Neutral",64,"Boise State",71,"Loss"
320,"11/26/15","Boise State","Neutral",71,"UC-Irvine",64,"Win"
321,"11/26/15","Santa Clara","Neutral",73,"Arizona",75,"Loss"
322,"11/26/15","Liberty","Neutral",62,"Appalachian State",73,"Loss"
323,"11/26/15","Appalachian State","Neutral",73,"Liberty",62,"Win"
324,"11/26/15","Texas A&M","Neutral",62,"Gonzaga",61,"Win"
325,"11/26/15","Charlotte","Neutral",47,"Michigan",102,"Loss"
326,"11/26/15","Tulane","Neutral",61,"Mercer",71,"Loss"
327,"11/26/15","Mercer","Neutral",71,"Tulane",61,"Win"
328,"11/26/15","Texas A&M-Corpus Christi","Neutral",73,"Furman",69,"Win"
329,"11/26/15","Furman","Neutral",69,"Texas A&M-Corpus Christi",73,"Loss"
330,"11/26/15","Gonzaga","Neutral",61,"Texas A&M",62,"Loss"
331,"11/26/15","Georgia Tech","Neutral",83,"Arkansas",73,"Win"
332,"11/26/15","Arkansas","Neutral",73,"Georgia Tech",83,"Loss"
333,"11/27/15","Notre Dame","Neutral",68,"Iowa",62,"Win"
334,"11/27/15","Iowa","Neutral",62,"Notre Dame",68,"Loss"
335,"11/27/15","North Carolina-Asheville","Neutral",61,"Middle Tennessee",63,"Loss"
336,"11/27/15","Middle Tennessee","Neutral",63,"North Carolina-Asheville",61,"Win"
337,"11/27/15","Alcorn State","Neutral",51,"Oakland",84,"Loss"
338,"11/27/15","Bethune-Cookman","Neutral",46,"Sam Houston State",71,"Loss"
339,"11/27/15","Memphis","Neutral",81,"Ohio State",76,"Win"
340,"11/27/15","Oakland","Neutral",84,"Alcorn State",51,"Win"
341,"11/27/15","Ohio State","Neutral",76,"Memphis",81,"Loss"
342,"11/27/15","Mercer","Neutral",71,"Appalachian State",70,"Win"
343,"11/27/15","Boise State","Neutral",67,"Michigan State",77,"Loss"
344,"11/27/15","Appalachian State","Neutral",70,"Mercer",71,"Loss"
345,"11/27/15","Michigan State","Neutral",77,"Boise State",67,"Win"
346,"11/27/15","Mount St. Mary's","Neutral",60,"Furman",69,"Loss"
347,"11/27/15","Furman","Neutral",69,"Mount St. Mary's",60,"Win"
348,"11/27/15","Nebraska","Neutral",61,"Cincinnati",65,"Loss"
349,"11/27/15","Cincinnati","Neutral",65,"Nebraska",61,"Win"
350,"11/27/15","Sam Houston State","Neutral",71,"Bethune-Cookman",46,"Win"
351,"11/27/15","Syracuse","Neutral",74,"Texas A&M",67,"Win"
352,"11/27/15","Texas","Neutral",72,"Michigan",78,"Loss"
353,"11/27/15","Stephen F. Austin","Neutral",59,"Tulane",60,"Loss"
354,"11/27/15","Texas A&M","Neutral",67,"Syracuse",74,"Loss"
355,"11/27/15","Tennessee","Neutral",70,"George Washington",73,"Loss"
356,"11/27/15","Michigan","Neutral",78,"Texas",72,"Win"
357,"11/27/15","Tulane","Neutral",60,"Stephen F. Austin",59,"Win"
358,"11/27/15","Wichita State","Neutral",60,"Alabama",64,"Loss"
359,"11/27/15","Alabama","Neutral",64,"Wichita State",60,"Win"
360,"11/27/15","Xavier","Neutral",87,"Southern California",77,"Win"
361,"11/27/15","Southern California","Neutral",77,"Xavier",87,"Loss"
362,"11/27/15","Villanova","Neutral",69,"Georgia Tech",52,"Win"
363,"11/27/15","Georgia Tech","Neutral",52,"Villanova",69,"Loss"
364,"11/27/15","San Jose State","Neutral",76,"San Diego",67,"Win"
365,"11/27/15","San Diego","Neutral",67,"San Jose State",76,"Loss"
366,"11/27/15","West Virginia","Neutral",72,"San Diego State",50,"Win"
367,"11/27/15","San Diego State","Neutral",50,"West Virginia",72,"Loss"
368,"11/27/15","Kentucky","Neutral",84,"South Florida",63,"Win"
369,"11/27/15","East Carolina","Neutral",93,"Stetson",73,"Win"
370,"11/27/15","Stanford","Neutral",69,"Arkansas",66,"Win"
371,"11/27/15","George Washington","Neutral",73,"Tennessee",70,"Win"
372,"11/27/15","Stetson","Neutral",73,"East Carolina",93,"Loss"
373,"11/27/15","Southern Illinois","Neutral",66,"Texas-El Paso",71,"Loss"
374,"11/27/15","South Florida","Neutral",63,"Kentucky",84,"Loss"
375,"11/27/15","Arkansas","Neutral",66,"Stanford",69,"Loss"
376,"11/27/15","Texas-El Paso","Neutral",71,"Southern Illinois",66,"Win"
377,"11/27/15","Charlotte","Neutral",66,"Washington",71,"Loss"
378,"11/27/15","Richmond","Neutral",94,"University of California",90,"Win"
379,"11/27/15","Chicago State","Neutral",65,"Jacksonville State",68,"Loss"
